Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,RankAppld,TCFapplied,PHRF,IRC
20/11/2013,Fleet,Twilight 1,r3,Combined,Gucci,1:25:21,5121,7,0.75,0.755,0.963
20/11/2013,Fleet,Twilight 1,r3,Combined,Eat My Shorts,1:25:53,5153,5,0.74,0.745,
20/11/2013,Fleet,Twilight 1,r3,Combined,Brix,1:33:04,5584,9,0.725,,
20/11/2013,Fleet,Twilight 1,r3,Combined,Incantare,1:36:26,5786,10,0.704,0.725,
20/11/2013,Fleet,Twilight 1,r3,Combined,Saucy Sausage,1:37:19,5839,3,0.623,0.63,
23/11/2013,Championship,Christmas,r2,1,Rocket Science,0:41:37,2497,1,0.802,0.82,
23/11/2013,Championship,Christmas,r2,1,Magic Trick,0:38:14,2294,2,0.885,0.875,
23/11/2013,Championship,Christmas,r2,1,The Guarantee,0:42:16,2536,3,0.829,0.845,
23/11/2013,Championship,Christmas,r2,1,Wedgetail,0:37:14,2234,4,0.944,0.95,1.209
23/11/2013,Championship,Christmas,r2,1,Ran Tan II,0:36:05,2165,5,0.996,1.04,
23/11/2013,Championship,Christmas,r2,1,Drinks Trolley,0:43:01,2581,6,0.836,0.84,
23/11/2013,Championship,Christmas,r2,1,Nedax Racing,0:44:09,2649,7,0.828,0.84,
23/11/2013,Championship,Christmas,r2,1,Revs,0:41:11,2471,8,0.904,0.885,1.234
23/11/2013,Championship,Christmas,r2,1,Blink,0:39:46,2386,9,0.96,0.98,
23/11/2013,Championship,Christmas,r2,2,After Midnight,0:32:55,1975,1,0.723,0.715,
23/11/2013,Championship,Christmas,r2,2,Whistler III,0:32:43,1963,2,0.73,0.725,0.95
23/11/2013,Championship,Christmas,r2,2,Gucci,0:31:54,1914,3,0.754,0.755,0.963
23/11/2013,Championship,Christmas,r2,2,Eat My Shorts,0:33:42,2022,4,0.733,0.745,
23/11/2013,Championship,Christmas,r2,2,Wiseguy,0:35:00,2100,5,0.711,,
23/11/2013,Championship,Christmas,r2,2,Blue Magic,0:33:42,2022,6,0.746,0.735,0.955
23/11/2013,Championship,Christmas,r2,2,Floating Free,0:35:42,2142,7,0.706,,
23/11/2013,Championship,Christmas,r2,2,Airship,0:33:57,2037,8,0.752,0.735,
23/11/2013,Championship,Christmas,r2,2,Incantare,0:37:40,2260,9,0.701,0.725,
23/11/2013,Championship,Christmas,r2,2,Wellington Spirit Bronze,0:39:31,2371,10,0.745,0.79,
23/11/2013,Championship,Christmas,r2,2,Brix,0:40:35,2435,11,0.73,,
23/11/2013,Championship,Christmas,r2,2,Prime Mover,0:46:35,2795,12,0.746,0.765,0.963
23/11/2013,Championship,Christmas,r2,3,Revenue Cutter,1:51:17,6677,1,0.643,,
23/11/2013,Championship,Christmas,r2,3,Titus Canby,1:46:21,6381,2,0.686,0.69,
23/11/2013,Championship,Christmas,r2,3,Rosschild,1:55:35,6935,3,0.639,0.68,
23/11/2013,Championship,Christmas,r2,3,Marishka,2:00:25,7225,4,0.614,0.65,
23/11/2013,Championship,Christmas,r2,3,Saucy Sausage,2:03:05,7385,5,0.624,0.63,
23/11/2013,Championship,Christmas,r2,3,Blurred Image,1:56:18,6978,6,0.685,,
23/11/2013,Championship,Christmas,r2,3,White Cavalier,2:23:37,8617,7,0.562,,
23/11/2013,Championship,Christmas,r2,3,Wai-Aniwa,2:01:24,7284,8,0.674,0.69,
23/11/2013,Championship,Christmas,r2,3,Haumuri,2:10:09,7809,9,0.672,0.665,
23/11/2013,Championship,Christmas,r3,1,Drinks Trolley,1:46:31,6391,1,0.833,0.84,
