Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20-Feb,PNR,PNR,r3,A,Magic Trick,0,2,1,1:55:43,6943,6109,6073,8,8,-,0.875,6,,,0.88,0.88,0,0.875,-0.57,0.875,0.877
20-Feb,PNR,PNR,r3,A,Jive Talkin,0,2,1,1:59:52,7192,6134,6073,9,9,-,0.857,8,,,0.854,0.853,0.001,0.845,-0.94,0.845,0.849
20-Feb,PNR,PNR,r3,A,Crusader,0,2,1,1:48:11,6491,6192,6073,10,10,-,0.951,9,,,0.955,0.954,0.001,0.936,-1.89,0.936,0.947
20-Feb,PNR,PNR,r3,A,Black Diamond,0,2,1,2:08:14,7694,6232,6073,11,11,-,0.807,10,1.006,2,0.809,0.81,-0.001,0.789,-2.59,0.789,0.803
20-Feb,PNR,PNR,r3,B,CU,0,2,1,<raf>,,,,,,,,,,,,,,,,,
20-Feb,PNR,PNR,r3,B,White Cavalier,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
20-Feb,PNR,PNR,r3,B,Incantare,0,2,1,0:40:35,2435,1643,1709,1,1,-,0.725,9,,,0.676,0.675,0.001,0.702,4,0.695,0.679
20-Feb,PNR,PNR,r3,B,Illusions,0,2,1,0:42:32,2552,1661,1709,2,2,-,0.675,5,0.918,5,0.65,0.651,-0.001,0.67,2.92,0.67,0.655
20-Feb,PNR,PNR,r3,B,Testarossa,0,2,1,0:36:45,2205,1682,1709,3,3,-,0.772,2,,,0.757,0.763,-0.006,0.775,1.57,0.775,0.767
20-Feb,PNR,PNR,r3,B,Haumuri,0,2,1,0:45:24,2724,1683,1709,4,4,-,0.662,12,,,0.618,0.618,0,0.628,1.62,0.628,0.621
20-Feb,PNR,PNR,r3,B,Tracer,0,2,1,0:51:16,3076,1691,1709,7,5,No,0.595,13,,,0.55,0.55,0,0.556,1.09,0.556,0.553
20-Feb,PNR,PNR,r3,B,Flying Machine,0,2,1,0:37:34,2254,1699,1709,8,6,No,0.762,4,0.941,1,0.753,0.754,-0.001,0.758,0.53,0.758,0.757
20-Feb,PNR,PNR,r3,B,Whistler III,0,2,1,0:38:46,2326,1702,1709,5,7,No,0.737,3,0.95,3,0.725,0.732,-0.007,0.735,0.41,0.735,0.733
20-Feb,PNR,PNR,r3,B,Wiseguy,0,2,1,0:40:28,2428,1709,1709,6,8,No,0.725,8,,,0.696,0.704,-0.008,0.704,0,0.704,0.705
20-Feb,PNR,PNR,r3,B,Stepping Stone,0,2,1,0:38:11,2291,1729,1709,9,9,-,0.755,6,,,0.747,0.755,-0.008,0.746,-1.19,0.746,0.753
20-Feb,PNR,PNR,r3,B,Gucci,0,2,1,0:37:48,2268,1730,1709,10,10,-,0.745,1,0.963,2,0.756,0.763,-0.007,0.754,-1.18,0.754,0.761
20-Feb,PNR,PNR,r3,B,Brix,0,2,1,0:42:46,2566,1752,1709,11,11,-,0.725,14,,,0.675,0.683,-0.008,0.666,-2.49,0.666,0.678
20-Feb,PNR,PNR,r3,B,Prime Mover,0,2,1,0:39:10,2350,1786,1709,12,12,-,0.762,11,0.964,4,0.753,0.76,-0.007,0.727,-4.34,0.737,0.752
20-Feb,PNR,PNR,r3,B,Titus Canby,0,2,1,0:42:59,2579,1787,1709,13,13,-,0.69,10,,,0.693,0.693,0,0.663,-4.33,0.672,0.685
20-Feb,PNR,PNR,r3,B,Airship,0,2,1,0:38:56,2336,1838,1709,14,14,-,0.753,7,,,0.78,0.787,-0.007,0.732,-6.99,0.763,0.78
20-Feb,PNR,PNR,r3,B,Synfinity,0,2,1,0:45:42,2742,1935,1709,15,15,-,0.72,16,,,0.707,0.706,0.001,0.624,-11.61,0.685,0.698
20-Feb,PNR,PNR,r3,B,After Midnight,0,2,1,0:44:25,2665,1972,1709,16,16,-,0.725,15,,,0.734,0.74,-0.006,0.641,-13.38,0.718,0.733
20-Feb,PNR,PNR,r4,A,Crusader,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
20-Feb,PNR,PNR,r4,A,Magic Trick,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
20-Feb,PNR,PNR,r4,A,St Laurence,0,2,1,1:05:01,3901,4018,4471,1,1,-,,,,,1.03,1.03,0,1.146,11.26,1.061,1.042
20-Feb,PNR,PNR,r4,A,Satellite Spy,0,2,1,1:21:50,4910,4433,4471,2,2,-,0.885,2,,,0.902,0.903,-0.001,0.911,0.89,0.911,0.908
20-Feb,PNR,PNR,r4,A,Revs,0,2,1,1:23:16,4996,4436,4471,3,3,-,0.9,4,,,0.888,0.888,0,0.895,0.79,0.895,0.89
20-Feb,PNR,PNR,r4,A,Blink,0,2,1,1:15:23,4523,4464,4471,4,4,-,0.96,1,1.362,3,0.987,0.987,0,0.989,0.2,0.989,0.988
