Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
21 Feb,PNR,PNR,r3,B,Incantare,0,2,1,0:40:35,2435.0,1643.0,1709.0,1.0,1.0,-,0.725,9.0,,,0.6759999999999999,0.675,0.001,0.702,4.0,0.695,0.679
21 Feb,PNR,PNR,r3,B,Illusions,0,2,1,0:42:32,2552.0,1661.0,1709.0,2.0,2.0,-,0.675,5.0,0.9179999999999999,5.0,0.65,0.651,-0.001,0.67,2.92,0.67,0.655
21 Feb,PNR,PNR,r3,B,Testarossa,0,2,1,0:36:45,2205.0,1682.0,1709.0,3.0,3.0,-,0.772,2.0,,,0.754,0.763,-0.009,0.775,1.57,0.775,0.767
21 Feb,PNR,PNR,r3,B,Haumuri,0,2,1,0:45:24,2724.0,1683.0,1709.0,4.0,4.0,-,0.662,12.0,,,0.615,0.618,-0.003,0.628,1.62,0.628,0.621
21 Feb,PNR,PNR,r3,B,Tracer,0,2,1,0:51:16,3076.0,1691.0,1709.0,7.0,5.0,No,0.595,13.0,,,0.547,0.55,-0.003,0.556,1.09,0.556,0.553
21 Feb,PNR,PNR,r3,B,Flying Machine,0,2,1,0:37:34,2254.0,1699.0,1709.0,8.0,6.0,No,0.762,4.0,0.941,1.0,0.7490000000000001,0.754,-0.005,0.758,0.53,0.758,0.757
21 Feb,PNR,PNR,r3,B,Whistler III,0,2,1,0:38:46,2326.0,1702.0,1709.0,5.0,7.0,No,0.737,3.0,0.95,3.0,0.721,0.732,-0.011,0.735,0.41,0.735,0.733
21 Feb,PNR,PNR,r3,B,Wiseguy,0,2,1,0:40:28,2428.0,1709.0,1709.0,6.0,8.0,No,0.725,8.0,,,0.6920000000000001,0.704,-0.012,0.704,0.0,0.704,0.705
21 Feb,PNR,PNR,r3,B,Stepping Stone,0,2,1,0:38:11,2291.0,1729.0,1709.0,9.0,9.0,-,0.755,6.0,,,0.743,0.755,-0.012,0.746,-1.19,0.746,0.753
21 Feb,PNR,PNR,r3,B,Gucci,0,2,1,0:37:48,2268.0,1730.0,1709.0,10.0,10.0,-,0.745,1.0,0.963,2.0,0.752,0.763,-0.011,0.754,-1.18,0.754,0.761
21 Feb,PNR,PNR,r3,B,Brix,0,2,1,0:42:46,2566.0,1752.0,1709.0,11.0,11.0,-,0.725,14.0,,,0.674,0.683,-0.009,0.666,-2.49,0.666,0.678
21 Feb,PNR,PNR,r3,B,Prime Mover,0,2,1,0:39:10,2350.0,1786.0,1709.0,12.0,12.0,-,0.762,11.0,0.9640000000000001,4.0,0.75,0.76,-0.01,0.727,-4.34,0.737,0.752
21 Feb,PNR,PNR,r3,B,Titus Canby,0,2,1,0:42:59,2579.0,1787.0,1709.0,13.0,13.0,-,0.69,10.0,,,0.693,0.693,0.0,0.663,-4.33,0.672,0.685
21 Feb,PNR,PNR,r3,B,Airship,0,2,1,0:38:56,2336.0,1838.0,1709.0,14.0,14.0,-,0.753,7.0,,,0.775,0.787,-0.012,0.732,-6.99,0.763,0.78
21 Feb,PNR,PNR,r3,B,Synfinity,0,2,1,0:45:42,2742.0,1935.0,1709.0,15.0,15.0,-,0.72,16.0,,,0.7070000000000001,0.706,0.001,0.624,-11.61,0.685,0.698
21 Feb,PNR,PNR,r3,B,After Midnight,0,2,1,0:44:25,2665.0,1972.0,1709.0,16.0,16.0,-,0.725,15.0,,,0.733,0.74,-0.007,0.641,-13.38,0.718,0.733
21 Feb,PNR,PNR,r4,A,Magic Trick,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21 Feb,PNR,PNR,r4,A,Crusader,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21 Feb,PNR,PNR,r4,A,St Laurence,0,2,1,1:05:01,3901.0,4018.0,4471.0,1.0,1.0,-,,,,,1.0290000000000001,1.03,-0.001,1.146,11.26,1.061,1.042
21 Feb,PNR,PNR,r4,A,Satellite Spy,0,2,1,1:21:50,4910.0,4433.0,4471.0,2.0,2.0,-,0.885,2.0,,,0.8959999999999999,0.903,-0.007,0.911,0.89,0.911,0.908
