Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
21-Feb,PNR,PNR,r1,A,Badonkadonk,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,Drinks Trolley,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,The Guarantee,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r2,B,Saucy Sausage,0:59:47,3587,2220,2227,7,7,-,0.63,,0.619,0.619,0,0.621,0.32,0.621,0.62
21-Feb,PNR,PNR,r2,B,Whistler III,0:49:29,2969,2226,2227,8,8,-,0.73,0.95,0.75,0.75,0,0.75,0,0.75,0.75
21-Feb,PNR,PNR,r2,B,Wiseguy,0:53:30,3210,2227,2227,9,9,-,0.725,,0.694,0.694,0,0.694,0,0.694,0.694
21-Feb,PNR,PNR,r2,B,Blue Magic,0:50:55,3055,2236,2227,10,10,-,0.74,0.955,0.732,0.732,0,0.729,-0.41,0.729,0.732
21-Feb,PNR,PNR,r2,B,Airship,0:50:24,3024,2274,2227,11,11,-,0.74,,0.752,0.752,0,0.736,-2.13,0.736,0.748
21-Feb,PNR,PNR,r2,B,Brix,0:54:25,3265,2288,2227,12,12,-,0.735,,0.702,0.701,0.001,0.682,-2.71,0.682,0.697
21-Feb,PNR,PNR,r2,B,Wai-Aniwa,0:56:48,3408,2300,2227,13,13,-,0.69,,0.675,0.675,0,0.654,-3.11,0.655,0.671
21-Feb,PNR,PNR,r2,B,Slingshot,0:51:48,3108,2321,2227,14,14,-,,,0.747,0.747,0,0.717,-4.02,0.725,0.742
21-Feb,PNR,PNR,r2,B,Gucci,0:50:40,3040,2325,2227,15,15,-,0.755,0.963,0.765,0.765,0,0.733,-4.18,0.742,0.759
21-Feb,PNR,PNR,r2,B,Testarossa,0:50:01,3001,2334,2227,16,16,-,0.765,,0.778,0.778,0,0.742,-4.63,0.755,0.773
21-Feb,PNR,PNR,r2,B,Wellington Spirit Red,0:52:10,3130,2350,2227,17,17,-,,,0.751,0.751,0,0.712,-5.19,0.728,0.745
21-Feb,PNR,PNR,r2,B,After Midnight,0:54:10,3250,2362,2227,18,18,-,0.72,,0.727,0.727,0,0.685,-5.78,0.705,0.723
21-Feb,PNR,PNR,r3,A,Badonkadonk,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r3,A,Drinks Trolley,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r3,A,The Guarantee,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r3,A,C U,1:10:55,4255,3408,3483,1,1,-,0.79,,0.801,0.801,0,0.819,2.25,0.819,0.805
21-Feb,PNR,PNR,r3,A,Rocket Science,1:10:12,4212,3453,3483,2,2,-,0.82,,0.82,0.82,0,0.827,0.85,0.827,0.823
21-Feb,PNR,PNR,r3,A,Black Diamond,1:11:51,4311,3483,3483,3,3,-,0.795,1.008,0.808,0.808,0,0.808,0,0.808,0.81
21-Feb,PNR,PNR,r3,A,Revs,1:05:00,3900,3513,3483,4,4,-,0.89,1.234,0.901,0.901,0,0.893,-0.89,0.893,0.896
21-Feb,PNR,PNR,r3,A,Magic Trick,1:05:38,3938,3524,3483,5,5,-,0.875,,0.895,0.895,0,0.885,-1.12,0.885,0.889
