Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
4 Oct,Championship,Spring,r2,3,Illusions,0,2,1,1:32:28,5548.0,3650.0,3766.0,2.0,2.0,-,0.67,1.0,,,0.6579999999999999,0.658,-0.0,0.679,3.19,0.678,0.664
4 Oct,Championship,Spring,r2,3,White Cavalier,0,2,1,1:49:07,6547.0,3666.0,3766.0,3.0,3.0,-,0.65,7.0,,,0.56,0.56,0.0,0.575,2.68,0.575,0.565
4 Oct,Championship,Spring,r2,3,Titus Canby,0,2,1,1:31:14,5474.0,3705.0,3766.0,4.0,4.0,-,0.69,2.0,,,0.677,0.677,0.0,0.688,1.62,0.688,0.68
4 Oct,Championship,Spring,r2,3,Revenue Cutter,0,2,1,1:37:37,5857.0,3766.0,3766.0,5.0,5.0,-,,,,,0.643,0.643,0.0,0.643,0.0,0.643,0.643
4 Oct,Championship,Spring,r2,3,Wai Aniwa,0,2,1,1:34:33,5673.0,3800.0,3766.0,6.0,6.0,-,0.69,5.0,,,0.6709999999999999,0.67,0.001,0.664,-0.9,0.664,0.668
4 Oct,Championship,Spring,r2,3,Saucy Sausage,0,2,1,1:40:23,6023.0,3812.0,3766.0,7.0,7.0,-,0.635,3.0,,,0.633,0.633,0.0,0.625,-1.26,0.625,0.631
4 Oct,Championship,Spring,r2,3,Maranui,0,2,1,1:56:05,6965.0,3844.0,3766.0,8.0,8.0,-,,,,,0.552,0.552,0.0,0.541,-1.99,0.541,0.549
4 Oct,Championship,Spring,r2,3,Haumuri,0,2,1,1:43:24,6204.0,4069.0,3766.0,9.0,9.0,-,0.665,6.0,,,0.6559999999999999,0.656,-0.0,0.607,-7.47,0.636,0.65
4 Oct,Championship,Spring,r2,3,Port Nic 1,0,2,1,1:53:45,6825.0,4641.0,3766.0,10.0,10.0,-,,,,,0.68,0.68,0.0,0.552,-18.82,0.66,0.674
4 Oct,Championship,Spring,r2,Open,Structural Analysis,0,2,1,<no entry>,,,,,0.0,,,,,,,,,,,,
4 Oct,Championship,Spring,r2,Open,Blink,0,2,1,1:43:18,6198.0,5788.0,5959.0,1.0,1.0,-,0.96,3.0,,,0.934,0.934,0.0,0.962,3.0,0.962,0.942
4 Oct,Championship,Spring,r2,Open,The Guarantee,0,2,1,1:59:49,7189.0,5923.0,5959.0,2.0,2.0,-,0.84,4.0,,,0.8240000000000001,0.824,0.0,0.829,0.61,0.829,0.825
4 Oct,Championship,Spring,r2,Open,Wedgetail,0,2,1,1:43:08,6188.0,5959.0,5959.0,3.0,3.0,-,0.945,2.0,1.209,1.0,0.963,0.963,0.0,0.963,0.0,0.963,0.964
4 Oct,Championship,Spring,r2,Open,Magic Trick,0,2,1,1:50:54,6654.0,6048.0,5959.0,4.0,4.0,-,0.875,1.0,,,0.909,0.909,0.0,0.896,-1.43,0.896,0.905
4 Oct,Championship,Spring,r2,Open,Revs,0,2,1,1:52:00,6720.0,6101.0,5959.0,5.0,5.0,-,0.9,5.0,,,0.9079999999999999,0.908,-0.0,0.887,-2.31,0.887,0.902
4 Oct,Championship,Spring,r2,Open,Helter Skelter,0,2,1,2:06:29,7589.0,6367.0,5959.0,6.0,6.0,-,,,,,0.8390000000000001,0.839,0.0,0.785,-6.44,0.814,0.831
11 Oct,Championship,Spring,r3,1,Helter Skelter,0,2,1,2:14:42,8082.0,6764.0,7100.0,1.0,1.0,-,,,,,0.8370000000000001,0.837,0.0,0.879,5.02,0.862,0.844
11 Oct,Championship,Spring,r3,1,Structural Analysis,0,2,1,2:30:18,9018.0,6970.0,7100.0,2.0,2.0,-,,,,,0.773,0.773,0.0,0.787,1.81,0.787,0.777
11 Oct,Championship,Spring,r3,1,Revs,0,2,1,2:11:12,7872.0,7100.0,7100.0,3.0,3.0,-,0.9,2.0,,,0.902,0.902,0.0,0.902,0.0,0.902,0.901
11 Oct,Championship,Spring,r3,1,Magic Trick,0,2,1,2:12:38,7958.0,7201.0,7100.0,4.0,4.0,-,0.875,1.0,,,0.905,0.905,0.0,0.892,-1.44,0.892,0.901
11 Oct,Championship,Spring,r3,1,Wedgetail,0,2,1,2:05:45,7545.0,7220.0,7100.0,5.0,5.0,-,0.945,3.0,1.209,1.0,0.9570000000000001,0.957,0.0,0.941,-1.67,0.941,0.952
11 Oct,Championship,Spring,r3,1,Badonkadonk,0,2,1,2:26:09,8769.0,7409.0,7100.0,6.0,6.0,-,0.865,4.0,,,0.845,0.845,0.0,0.81,-4.14,0.82,0.837
11 Oct,Championship,Spring,r3,2,Airship,0,2,1,2:16:27,8187.0,6066.0,6432.0,1.0,1.0,-,0.753,1.0,,,0.741,0.741,0.0,0.786,6.07,0.763,0.747
11 Oct,Championship,Spring,r3,2,Floating Free,0,2,1,2:27:45,8865.0,6223.0,6432.0,2.0,2.0,-,,,,,0.7020000000000001,0.702,0.0,0.726,3.42,0.723,0.707
11 Oct,Championship,Spring,r3,2,Wiseguy,0,2,1,2:29:59,8999.0,6227.0,6432.0,3.0,3.0,-,0.725,7.0,,,0.6920000000000001,0.692,0.0,0.715,3.32,0.713,0.698
11 Oct,Championship,Spring,r3,2,After Midnight,0,2,1,2:25:32,8732.0,6234.0,6432.0,4.0,4.0,-,0.725,2.0,,,0.715,0.714,0.001,0.737,3.22,0.735,0.719
11 Oct,Championship,Spring,r3,2,Montego Bay III,0,2,1,2:27:59,8879.0,6268.0,6432.0,5.0,5.0,-,,,,,0.7070000000000001,0.706,0.001,0.724,2.55,0.724,0.712
11 Oct,Championship,Spring,r3,2,Eat My Shorts,0,2,1,2:25:04,8704.0,6432.0,6432.0,6.0,6.0,-,0.74,6.0,,,0.7390000000000001,0.739,0.0,0.739,0.0,0.739,0.741
11 Oct,Championship,Spring,r3,2,Gucci,0,2,1,2:22:23,8543.0,6475.0,6432.0,7.0,7.0,-,0.745,3.0,0.963,2.0,0.758,0.758,0.0,0.753,-0.66,0.753,0.756
11 Oct,Championship,Spring,r3,2,Prime Mover,0,2,1,2:20:32,8432.0,6492.0,6432.0,8.0,8.0,-,0.762,5.0,0.9640000000000001,1.0,0.77,0.77,0.0,0.763,-0.91,0.763,0.77
11 Oct,Championship,Spring,r3,2,Testarossa,0,2,1,2:18:36,8316.0,6519.0,6432.0,9.0,9.0,-,0.772,4.0,,,0.784,0.784,0.0,0.774,-1.28,0.774,0.782
