Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
5-Apr,Championship,Autumn,r3,3,Titus Canby,1:16:01,4561,3033,3172,2,2,-,0.69,,0.673,0.665,0.008,0.695,4.51,0.685,0.673
5-Apr,Championship,Autumn,r3,3,Revenue Cutter,1:22:07,4927,3113,3172,3,3,-,,,0.64,0.632,0.008,0.644,1.9,0.644,0.639
5-Apr,Championship,Autumn,r3,3,Rosschild,1:23:35,5015,3129,3172,4,4,-,0.68,,0.629,0.624,0.005,0.633,1.44,0.633,0.629
5-Apr,Championship,Autumn,r3,3,Wai-Aniwa,1:19:23,4763,3172,3172,5,5,-,0.69,,0.68,0.666,0.014,0.666,0,0.666,0.68
5-Apr,Championship,Autumn,r3,3,Saucy Sausage,1:28:58,5338,3368,3172,6,6,-,0.63,,0.627,0.631,-0.004,0.594,-5.86,0.612,0.627
5-Apr,Championship,Autumn,r3,3,Marishka,1:31:58,5518,3404,3172,7,7,-,0.65,,0.621,0.617,0.004,0.575,-6.81,0.598,0.621
5-Apr,Championship,Autumn,r3,3,Haumuri,1:28:20,5300,3498,3172,8,8,-,0.665,,0.668,0.66,0.008,0.598,-9.39,0.64,0.668
5-Apr,Championship,Autumn,r3,3,Maranui,1:53:34,6814,3761,3172,9,9,-,,,0.551,0.552,-0.001,0.466,-15.58,0.535,0.551
5-Apr,Championship,Autumn,r4,1,The Guarantee,0:27:46,1666,1351,1491,1,1,-,0.845,,0.814,0.811,0.003,0.895,10.36,0.835,0.814
5-Apr,Championship,Autumn,r4,1,Revs,0:27:11,1631,1456,1491,2,2,-,0.89,1.234,0.901,0.893,0.008,0.914,2.35,0.914,0.902
5-Apr,Championship,Autumn,r4,1,Wedgetail,0:26:00,1560,1480,1491,3,3,-,0.95,1.208,0.948,0.949,-0.001,0.956,0.74,0.956,0.948
5-Apr,Championship,Autumn,r4,1,Rocket Science,0:30:06,1806,1491,1491,4,4,-,0.82,,0.827,0.826,0.001,0.826,0,0.826,0.827
5-Apr,Championship,Autumn,r4,1,Drinks Trolley,0:29:43,1783,1495,1491,5,5,-,0.84,,0.847,0.839,0.008,0.837,-0.24,0.837,0.848
5-Apr,Championship,Autumn,r4,1,Blink,0:27:49,1669,1573,1491,6,6,-,0.96,,0.947,0.943,0.004,0.894,-5.2,0.915,0.947
5-Apr,Championship,Autumn,r4,1,Structural Analysis,0:38:20,2300,1780,1491,7,7,-,,,0.779,0.774,0.005,0.648,-16.28,0.751,0.779
5-Apr,Championship,Autumn,r4,2,Incantare,0:32:13,1933,1312,1391,1,1,-,0.725,,0.669,0.679,-0.01,0.72,6.04,0.699,0.668
5-Apr,Championship,Autumn,r4,2,Prime Mover,0:29:33,1773,1333,1391,2,2,-,0.765,0.964,0.746,0.752,-0.006,0.785,4.39,0.775,0.746
5-Apr,Championship,Autumn,r4,2,Gucci,0:30:13,1813,1381,1391,3,3,-,0.755,0.963,0.759,0.762,-0.003,0.768,0.79,0.768,0.758
5-Apr,Championship,Autumn,r4,2,Eat My Shorts,0:31:59,1919,1387,1391,6,4,No,0.745,,0.732,0.723,0.009,0.725,0.28,0.725,0.731
5-Apr,Championship,Autumn,r4,2,Blue Magic,0:31:56,1916,1391,1391,5,5,-,0.74,0.955,0.726,0.726,0,0.726,0,0.726,0.725
5-Apr,Championship,Autumn,r4,2,Wiseguy,0:33:11,1991,1397,1391,4,6,No,0.725,,0.695,0.702,-0.007,0.699,-0.43,0.699,0.695
5-Apr,Championship,Autumn,r4,2,Floating Free,0:33:12,1992,1416,1391,9,7,No,,,0.717,0.711,0.006,0.698,-1.83,0.698,0.716
5-Apr,Championship,Autumn,r4,2,After Midnight,0:32:10,1930,1418,1391,8,8,-,0.72,,0.734,0.735,-0.001,0.721,-1.9,0.721,0.733
5-Apr,Championship,Autumn,r4,2,Whistler III,0:31:31,1891,1425,1391,7,9,No,0.73,0.95,0.749,0.754,-0.005,0.736,-2.39,0.736,0.747
5-Apr,Championship,Autumn,r4,2,Testarossa,0:31:00,1860,1445,1391,10,10,-,0.765,,0.783,0.777,0.006,0.748,-3.73,0.754,0.781
12-Apr,Championship,Autumn,r4,3,Illusions,<dnf>,,,,,,,,,,,,,,,
12-Apr,Championship,Autumn,r4,3,Wai-Aniwa,1:59:34,7174,4756,4763,4,1,No,0.69,,0.676,0.663,0.013,0.664,0.15,0.664,0.676
12-Apr,Championship,Autumn,r4,3,Saucy Sausage,2:07:28,7648,4757,4763,3,2,No,0.63,,0.628,0.622,0.006,0.623,0.16,0.623,0.628
